country,country_code_3_digit,country_code_2_digit,population,confirmed cases_counts,deaths_counts,source,reported_date
Azerbaijan,AZE,AZ,10139175,0,0,"Epidemic intelligence, national daily data",2020-01-10
Norway,NOR,NO,5328212,0,0,"Epidemic intelligence, national daily data",2020-01-13
Denmark,DNK,DK,5806081,0,0,"Epidemic intelligence, national daily data",2020-02-12
Czechia,CZE,CZ,10649800,18,3,"Epidemic intelligence, national daily data",2020-05-10
Hungary,HUN,HU,9772756,38,5,"Epidemic intelligence, national daily data",2020-04-03
Azerbaijan,AZE,AZ,10139175,155,3,"Epidemic intelligence, national daily data",2020-09-14
Albania,ALB,AL,2862427,0,0,"Epidemic intelligence, national daily data",2020-02-19
Estonia,EST,EE,1324820,0,0,"Epidemic intelligence, national daily data",2020-03-05
Ukraine,UKR,UA,43733759,0,0,"Epidemic intelligence, national daily data",2020-01-10
Slovenia,SVN,SI,2080908,82,0,"Epidemic intelligence, national daily data",2020-09-16
Greece,GRC,EL,10724599,0,0,"Epidemic intelligence, national daily data",2020-03-02
Croatia,HRV,HR,4076246,0,0,"Epidemic intelligence, national daily data",2020-01-25
Slovakia,SVK,SK,5450421,10,0,"Epidemic intelligence, national daily data",2020-03-19
Croatia,HRV,HR,4076246,0,0,"Epidemic intelligence, national daily data",2020-02-24
Slovakia,SVK,SK,5450421,419,0,"Epidemic intelligence, national daily data",2020-09-26
Turkey,TUR,TR,82003882,952,27,"Epidemic intelligence, national daily data",2020-05-23
Turkey,TUR,TR,82003882,1114,55,"Epidemic intelligence, national daily data",2020-05-12
Albania,ALB,AL,2862427,130,4,"Epidemic intelligence, national daily data",2020-08-05
Greece,GRC,EL,10724599,0,0,"Epidemic intelligence, national daily data",2020-02-17
Spain,ESP,ES,46937060,772,23,"Epidemic intelligence, national daily data",2020-03-10
Azerbaijan,AZE,AZ,10139175,339,4,"Epidemic intelligence, national daily data",2020-06-11
Russia,RUS,RU,145934460,0,0,"Epidemic intelligence, national daily data",2020-01-14
Serbia,SRB,RS,6963764,96,1,"Epidemic intelligence, national daily data",2020-06-23
Montenegro,MNE,ME,622182,0,0,"Epidemic intelligence, national daily data",2020-02-01
Romania,ROU,RO,19414458,767,17,"Epidemic intelligence, national daily data",2020-07-20
Jersey,JEY,JE,107796,0,0,"Epidemic intelligence, national daily data",2020-07-31
Luxembourg,LUX,LU,613894,11,2,"Epidemic intelligence, national daily data",2020-05-20
Estonia,EST,EE,1324820,46,0,"Epidemic intelligence, national daily data",2020-04-12
Lithuania,LTU,LT,2794184,0,0,"Epidemic intelligence, national daily data",2020-01-19
Switzerland,CHE,CH,8544527,0,0,"Epidemic intelligence, national daily data",2020-01-14
Armenia,ARM,AM,2963234,415,10,"Epidemic intelligence, national daily data",2020-06-30
France,FRA,FR,67012883,7379,20,"Epidemic intelligence, national daily data",2020-08-29
Russia,RUS,RU,145934460,15971,290,"Epidemic intelligence, national daily data",2020-10-23
Ukraine,UKR,UA,43733759,0,0,"Epidemic intelligence, national daily data",2020-01-09
Sweden,SWE,SE,10230185,563,74,"Epidemic intelligence, national daily data",2020-04-28
Ireland,IRL,IE,4904240,359,42,"Epidemic intelligence, national daily data",2020-05-01
Spain,ESP,ES,46937060,0,410,"Epidemic intelligence, national daily data",2020-04-19
Cyprus,CYP,CY,875899,0,0,"Epidemic intelligence, national daily data",2020-07-21
